i2t_R@1,i2t_R@5,i2t_R@10,t2i_R@1,t2i_R@5,t2i_R@10,method
0.3,0.3,0.7000000000000001,0.1,0.5,1.0,Composed (V→T1→T2)
1.3,1.3,2.1,0.1,0.5,1.0,Direct (V→T2)
