i2t_R@1,i2t_R@5,i2t_R@10,t2i_R@1,t2i_R@5,t2i_R@10,vision,text
1.7000000000000002,1.7000000000000002,3.3000000000000003,1.6,7.000000000000001,10.4,dinov2_vitb14,all-MiniLM-L6-v2
1.0,1.0,2.3,1.7000000000000002,6.6000000000000005,8.9,dinov2_vitb14,all-mpnet-base-v2
